               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.014459,           0.0074023,                   0,             0.97685,                   1,             0.99446,             0.72828,            0.010687,           0.0028257,                   0,            0.005116,            0.005116,            0.005116
                  39,            0.015735,           0.0080452,                   0,             0.96211,             0.94545,             0.98882,             0.73092,            0.011343,            0.003228,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.016313,           0.0078332,                   0,             0.94681,             0.97103,             0.99253,              0.6598,            0.013333,           0.0032195,                   0,            0.004852,            0.004852,            0.004852
                  41,             0.01592,           0.0092351,                   0,             0.94806,             0.99558,             0.99093,             0.75218,           0.0098644,           0.0029952,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.015451,           0.0085439,                   0,             0.92501,                   1,             0.99042,             0.74008,            0.011461,           0.0029835,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.014716,           0.0085527,                   0,             0.95678,                   1,             0.99325,             0.75279,           0.0099366,           0.0028698,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.016611,           0.0074465,                   0,                   1,             0.99593,               0.995,             0.77715,           0.0091143,           0.0026784,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.017153,           0.0079048,                   0,             0.98207,             0.99593,             0.99446,             0.76107,           0.0093071,           0.0026305,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.021289,            0.007827,                   0,             0.96022,                   1,             0.99395,             0.79261,           0.0090209,           0.0025476,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.020619,           0.0077913,                   0,             0.96468,              0.9934,             0.99358,             0.82197,           0.0068701,           0.0025199,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.012869,           0.0079847,                   0,             0.95883,             0.98182,              0.9934,             0.80295,            0.010099,           0.0026149,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.014569,            0.007552,                   0,             0.98141,             0.96008,             0.99308,              0.8163,           0.0074203,           0.0025142,                   0,            0.003664,            0.003664,            0.003664
